1,Banana Nut,Muffin,NULL,128g,390,17,2,0.1,15,510,56,2,26,6,0,2,6,15,0
2,Blueberry,Muffin,NULL,128g,330,11,1.5,0,15,580,55,2,27,4,0,0,4,15,0
3,Chocolate Chip,Muffin,NULL,128g,430,16,5,0.3,15,580,69,2,40,5,0,0,6,20,0
4,Blueberry Bran,Muffin,NULL,128g,300,10,1,0,10,770,53,5,25,6,0,6,4,25,0
5,Cranberry Blueberry Bran,Muffin,NULL,128g,290,10,1.5,0,10,710,51,5,24,5,0,8,4,20,0
6,Raisin Bran,Muffin,NULL,128g,360,10,1.5,0,10,790,65,6,37,6,0,6,6,25,0
7,Cranberry Fruit,Muffin,NULL,128g,350,12,1.5,0,15,560,59,2,31,4,0,6,6,15,0
8,Fruit Explosion,Muffin,NULL,128g,360,11,1.5,0,15,550,61,2,32,4,0,4,6,15,0
9,Strawberry Sensation,Muffin,NULL,128g,350,11,1.5,0,15,580,61,1,31,4,0,10,6,15,0
10,Wheat Carrot,Muffin,NULL,128g,400,19,2.5,0,10,660,55,4,26,6,15,10,4,20,0
11,Low Fat Cranberry,Muffin,NULL,128g,290,2.5,0.5,0,0,750,62,2,31,4,0,4,4,15,0
12,Low Fat Blueberry,Muffin,NULL,128g,290,2.5,0.5,0,0,750,62,2,32,4,0,0,4,15,0
13,Whole Grain Raspberry,Muffin,NULL,128g,400,17,4,0.1,15,580,58,5,26,5,0,4,6,30,0
14,Plain,Bagels,NULL,114g,260,1.5,0.2,0,0,450,52,2,7,9,0,0,2,20,0
15,Sesame Seed,Bagels,NULL,114g,270,2.5,0.4,0,0,430,53,3,7,9,0,0,2,30,0
16,Poppy Seed,Bagels,NULL,114g,270,2,0.3,0,0,440,53,3,7,9,0,0,4,20,0
17,Blueberry,Bagels,NULL,114g,270,1,0,0,0,470,55,2,7,10,0,0,2,20,0
18,Onion,Bagels,NULL,114g,260,1.5,0.2,0,0,460,53,3,8,9,0,0,4,20,0
19,Everything,Bagels,NULL,114g,280,2,0.3,0,0,460,53,3,7,10,0,0,4,20,0
20,Cinnamon Raisin,Bagels,NULL,114g,270,1,0.2,0,0,350,55,3,12,10,0,0,4,20,0
21,12 Grain,Bagels,NULL,114g,330,9,1,0,0,580,52,6,6,10,0,0,6,25,0
22,Wheat  and Honey,Bagels,NULL,114g,300,3,0.4,0,0,600,60,4,6,10,0,0,0,15,0
23,Plain,Cream Cheese,NULL,43g,144,14,9,0.5,50,179,2,0,2,3,15,0,6,0,0
24,Light Plain,Cream Cheese,NULL,43g,100,8,5,0.2,30,216,2,0,2,4,10,0,4,0,0
25,Light Strawberry,Cream Cheese,NULL,43g,100,6,4,0.2,25,170,8,0,7,3,8,2,4,0,0
26,Herb and Garlic,Cream Cheese,NULL,43g,141,13,8,0.4,47,228,2,0,2,3,15,0,6,0,0
27,Plain Croissant,Specialty Baked Goods,NULL,59g,200,11,5,0,0,210,21,0,2,5,0,0,4,8,0
